Date,Ticker,Adj Close
5/7/2021,eth,3485
5/8/2021,eth,3903
5/9/2021,eth,3929
5/10/2021,eth,3952
5/11/2021,eth,4169
5/12/2021,eth,3786
5/13/2021,eth,3715
5/14/2021,eth,4079
5/15/2021,eth,3638
5/16/2021,eth,3588
5/17/2021,eth,3282
5/18/2021,eth,3380
5/19/2021,eth,2461
5/20/2021,eth,2784
5/21/2021,eth,2431
5/22/2021,eth,2296
5/23/2021,eth,2110
5/24/2021,eth,2644
5/25/2021,eth,2707
5/26/2021,eth,2889
5/27/2021,eth,2736
5/28/2021,eth,2420
5/29/2021,eth,2280
5/30/2021,eth,2390
5/31/2021,eth,2715
6/1/2021,eth,2634
6/2/2021,eth,2706
6/3/2021,eth,2855
6/4/2021,eth,2688
6/5/2021,eth,2631
6/6/2021,eth,2715
6/7/2021,eth,2590
6/8/2021,eth,2517
6/9/2021,eth,2608
6/10/2021,eth,2472
6/11/2021,eth,2354
6/12/2021,eth,2372
6/13/2021,eth,2508
6/14/2021,eth,2538
6/15/2021,eth,2611
6/16/2021,eth,2368
6/17/2021,eth,2372
6/18/2021,eth,2232
6/19/2021,eth,2178
6/20/2021,eth,2246
6/21/2021,eth,1888
6/22/2021,eth,1875
6/23/2021,eth,1990
6/24/2021,eth,1988
6/25/2021,eth,1813
6/26/2021,eth,1829
6/27/2021,eth,1979
6/28/2021,eth,2080
6/29/2021,eth,2161
6/30/2021,eth,2275
7/1/2021,eth,2114
7/2/2021,eth,2150
7/3/2021,eth,2226
7/4/2021,eth,2322
7/5/2021,eth,2199
7/6/2021,eth,2325
7/7/2021,eth,2315
7/8/2021,eth,2120
7/9/2021,eth,2147
7/10/2021,eth,2111
7/11/2021,eth,2140
7/12/2021,eth,2037
7/13/2021,eth,1940
7/14/2021,eth,1994
7/15/2021,eth,1911
7/16/2021,eth,1880
7/17/2021,eth,1899
7/18/2021,eth,1896
7/19/2021,eth,1817
7/20/2021,eth,1788
7/21/2021,eth,1991
7/22/2021,eth,2025
7/23/2021,eth,2125
7/24/2021,eth,2189
7/25/2021,eth,2191
7/26/2021,eth,2233
7/27/2021,eth,2298
7/28/2021,eth,2297
7/29/2021,eth,2381
7/30/2021,eth,2467
7/31/2021,eth,2536
8/1/2021,eth,2562
8/2/2021,eth,2610
8/3/2021,eth,2502
8/4/2021,eth,2725
8/5/2021,eth,2827
8/6/2021,eth,2891
8/7/2021,eth,3157
8/8/2021,eth,3014
8/9/2021,eth,3168
8/10/2021,eth,3142
8/11/2021,eth,3164
8/12/2021,eth,3043
8/13/2021,eth,3322
8/14/2021,eth,3265
8/15/2021,eth,3311
8/16/2021,eth,3157
8/17/2021,eth,3015
